Score,Summary,Text,Sentiment,Cleaned_Text
3,"My dog loves them but they are not ""thick"" as advertised","I ordered a dozen or so and about one third of them I would qualify as ""thick"" the rest were a standard thickness that you can find at any pet store.  My dog loves them and he didn't seem to mind, and the price is still fair, I was just disappointed that they were not as advertised.",neutral,order dozen one third would qualifi thick rest standard thick find pet store dog love didnt seem mind price still fair disappoint advertis
5,Smells great and OMG! This is GOOD!,"The first taste of the black coffee was somewhat bitter with a clean chocolate after taste. The addition of Sugar mellowed it out and eliminated the bitterness. The addition of milk turned it into ambrosia. I kind of expected to be disappointed because other chocolate flavored coffees I've tried have not been very good. This is good, the chocolate flavor is excellent.  The smell is absolutely delightful,it drew family members into the kitchen to ask what that wonderful fragrance was.The lovely aroma was so enthralling that the family member who dislikes/hates coffee insisted on having a cup. She loved it sweetened with milk added and will drink it again.  We joked about using it as a room freshener or wearing it as perfume. This is a very fine grind, a rounded tablespoon of coffee to 6 ounces of water makes a very strong brew. It can be diluted and retains its flavor. My husband loved it too and wants me to buy it when it is available. I think this tastes best sweetened.",positive,first tast black coffe somewhat bitter clean chocol tast addit sugar mellow elimin bitter addit milk turn ambrosia kind expect disappoint chocol flavor coffe ive tri good good chocol flavor excel smell absolut delightfulit drew famili member kitchen ask wonder fragranc wasth love aroma enthral famili member dislikesh coffe insist cup love sweeten milk ad drink joke use room freshen wear perfum fine grind round tablespoon coffe ounc water make strong brew dilut retain flavor husband love want buy avail think tast best sweeten
4,Not bad at all...,"My only issue with the strawberry is the strawberry flavor is a little weak. It doesn't taste like real strawberries, it is the fake strawberry flavor (which I just happen to prefer), I just wish the strawberry flavor was a little stronger. As a syrup, I have no complaints and it does have a nice mild strawberry flavor and is pretty sweet to. This would help curb the sweet tooth cravings, thats for sure! I will buy it again!",positive,issu strawberri strawberri flavor littl weak doesnt tast like real strawberri fake strawberri flavor happen prefer wish strawberri flavor littl stronger syrup complaint nice mild strawberri flavor pretti sweet would help curb sweet tooth crave that sure buy
5,BFF Top Grade Cat Food,"Very good quality cat food.  Made at a human food factory with human grade ingredients.  The tuna used is the red meat from the skipjack tuna fish.  They get a variety so this is just part of their diet as I do not want to feed them tuna based foods as their primary source of protein.  Healthy and cats love this.  I try to use this brand, Tiki Cat, Weurva and then for dry food Orijen cat food.  My Himalayan cats are on a no grain, no gluten/filler diet.  This wet food in combination with the dry has led to great coats, no hair balls, good energy and solid not too stinky poo :)",positive,good qualiti cat food made human food factori human grade ingredi tuna use red meat skipjack tuna fish get varieti part diet want feed tuna base food primari sourc protein healthi cat love tri use brand tiki cat weurva dri food orijen cat food himalayan cat grain glutenfil diet wet food combin dri led great coat hair ball good energi solid stinki poo
5,Hmmmmmm,"I love this caramel popcorn...it's fantastic!  The 1st time I tried it, I couldn't believe the taste was sooohhh authentic, it tasted so amazing, so yummy, truly awesome!!!",positive,love caramel popcornit fantast time tri couldnt believ tast sooohhh authent tast amaz yummi truli awesom
4,Better than I expected!,"My nine-year-old Daughter is nuts about this cereal. She's been my main sounding board for this review, since I personally don't care for the cereal as a breakfast food. I'm not nuts about the way it tastes in Milk. Oddly enough, I love it straight out of the box, as a dry snack, washed down by a glass of Milk. My Daughter ran through the box pretty quickly, and we've added it to our grocery list, so consider this a recommendation from two generations.",positive,nineyearold daughter nut cereal she main sound board review sinc person dont care cereal breakfast food nut way tast milk oddli enough love straight box dri snack wash glass milk daughter ran box pretti quickli weve ad groceri list consid recommend two gener
5,love it,Came right away. Tastes great. Great bargain compared to what you pay in retail stores. We drink it every day! Am going to buy k-cups on Amazon every time we need them now!,positive,came right away tast great great bargain compar pay retail store drink everi day go buy kcup amazon everi time need
5,Trust them! no marking around.,So far no problems at all !!! love to shop with Amazon.com<br /><br />From Singapore,positive,far problem love shop amazoncomfrom singapor
2,"Really, really small container of dog treats","My dog is ho-hum about these treats.  Don't be fooled by the picture - the package is very small and the treats themselves look like and have the consistency of styrafoam packaging peanuts.  I love Halo's other dog treats, especially the little baked snacks.  For $9.95, I really don't feel this is a good value at all.  Disappointed.",negative,dog hohum treat dont fool pictur packag small treat look like consist styrafoam packag peanut love halo dog treat especi littl bake snack realli dont feel good valu disappoint
5,Delicious and good value; we will definitely order again!,We love these packages -- perfect for backpacks or as a traveling snack.  We will purchase them again!,positive,love packag perfect backpack travel snack purchas
5,NO DENTED CANS!,"I was skeptical of ordering after reading about all the dented can issues, I got my order today. NO DENTED CANS! My order was packaged as if to survive the next millenium and the cans were in mint condition!<br />Great bargain at the price.",positive,skeptic order read dent issu got order today dent can order packag surviv next millenium can mint conditiongreat bargain price
5,Sweet Treat for the Squirrels,"My squirrels...I should say, nature's squirrels who visit me love these Squirrelogs.  Fun to watch them eating...most always upside-down.  When their companions try to feed from the same log, the one in possession will hold the tree with rear feet and the whole log with front feet and continue to munch...so cute.  Healthy food, no messes to clean up like with corn cobs, deters squirrels from eating expensive bird food and provides entertainment and great photos. Very fresh when ordering from Amazon...not the same at the local stores!",positive,squirrelsi say natur squirrel visit love squirrelog fun watch eatingmost alway upsidedown companion tri feed log one possess hold tree rear feet whole log front feet continu munchso cute healthi food mess clean like corn cob deter squirrel eat expens bird food provid entertain great photo fresh order amazonnot local store
5,Tastes good!,"These are yummy and the WHOLE cookie is covered, unlike other chocolate fortune cookies.  All are individually wrapped.  Not the best tasting chocolate ever, but yummy nonetheless.",positive,yummi whole cooki cover unlik chocol fortun cooki individu wrap best tast chocol ever yummi nonetheless
1,Bad taste,Tasted literally like what I imagine licking the bottom of a dirty ashtray would taste like.  HORRIBLE taste.  Packaging was different from what is pictured as well.  Never again.,negative,tast liter like imagin lick bottom dirti ashtray would tast like horribl tast packag differ pictur well never
5,Chocolate Vanilla Glutino Wafers,"These are the best gluten-free cookies that I have ever tasted.  They are as good as the regular wafer cookies (or better!).  The only problem is that in shipment (during the summer months) the chocolate all sticks to the paper and the container that the cookies are in.  If they could be put on ice packs for shipment, they would get to the customer in much better shape.",positive,best glutenfre cooki ever tast good regular wafer cooki better problem shipment summer month chocol stick paper contain cooki could put ice pack shipment would get custom much better shape
3,Power crunch Bars,Can't say I really love them. A little too sweet and too thick as a taste...<br />But good calorie count.,neutral,cant say realli love littl sweet thick tastebut good calori count
5,Lemony Tea,"My local grocers don't carry this brand of tea sticks either.  I've purchased two other brands, Wyler's and Lipton's.  The Wyler's was awful, and I ended up throwing it away.  The Lipton's was pretty good, a bit sweet, though, and I'm not a fan of Aspertame.  This brand tastes nearly perfect, and it uses Splenda for sweetening instead of Aspertame.  I give it five stars and will continue to order from Amazon, instead of buying from the grocery store, for as long as it's available.  Thank you, Amazon!",positive,local grocer dont carri brand tea stick either ive purchas two brand wyler lipton wyler aw end throw away lipton pretti good bit sweet though fan aspertam brand tast nearli perfect use splenda sweeten instead aspertam give five star continu order amazon instead buy groceri store long avail thank amazon
5,Yummy and warm in my tummy!!!,"Make per directions and use half & half to top off for richer taste, maybe a little whipped cream topper and you have have a melt in the chair, soft spot, where visions of sugar plums and the like may begin to dance in your heads.  Yummy and so delicious.  I've purchased twice, first at near $13-each for two, then near $5-each for six of them - chalk it up to when you're buying!  I should make clear that I do not regret my initial purchase, I was merely showing an example when timing can play a part in the value of this kind of transaction.  Please allow me to elaborate that I initially selected Chadwell Retail sellers as I was trying the product, and it seemed reasonable given the value for two to select them to complete my purchase.  I have no qualms with the seller and would openly consider their services on this open market again as the purchase made sense.  Thank you for reading this far and for your consideration in advance.",positive,make per direct use half half top richer tast mayb littl whip cream topper melt chair soft spot vision sugar plum like may begin danc head yummi delici ive purchas twice first near two near six chalk your buy make clear regret initi purchas mere show exampl time play part valu kind transact pleas allow elabor initi select chadwel retail seller tri product seem reason given valu two select complet purchas qualm seller would openli consid servic open market purchas made sens thank read far consider advanc
5,My Tea Addiction...,"This is my absolute favorite tea; in the cooler months I have a cup every night after dinner. It has a natural sweetness so I have never added sugar and it doesn't need any milk either. It has a warm, spicy taste reminiscent of fireballs candies but without the ""bite"" or sugary taste. I find it fills that after dinner craving for something sweet without caving in and having dessert. This tea has such a nice balance and depth to it; I can't be without it. I am moving out of the country for a few years and panicked when I thought I could end up without my stash so I stocked up with a year's supply and will get more when I come home for the holidays.",positive,absolut favorit tea cooler month cup everi night dinner natur sweet never ad sugar doesnt need milk either warm spici tast reminisc firebal candi without bite sugari tast find fill dinner crave someth sweet without cave dessert tea nice balanc depth cant without move countri year panick thought could end without stash stock year suppli get come home holiday
5,"Wonderful, full flavor tea!","Excellent tea!  Hot or Iced, the full and smooth flavor of Black Tea is wonderful.  It's a permanent ingredient in my home.",positive,excel tea hot ice full smooth flavor black tea wonder perman ingredi home
1,Not Satisfied,"Two bottles arrived, one was leaking to extent that cardboard box was wet.<br />This is a dangerous product.<br />Never mentioned in product description that the contents is highly toxic to bees.<br /><br />Should not be on the market.  The dry anti mosquito products were OK.",negative,two bottl arriv one leak extent cardboard box wetthi danger productnev mention product descript content highli toxic beesshould market dri anti mosquito product
1,Made my cat sick,"My cat had a very bad reaction to these treats. He loved them, but they were like an extreme laxative. It took me a while to track down his problem. Maybe it was the chlorophyll, I don't know, but if your cat has a sensitive stomach, I'd be careful with these particular treats.",negative,cat bad reaction treat love like extrem lax took track problem mayb chlorophyl dont know cat sensit stomach care particular treat
1,Bad batch,"I've bought Joyva tahini for 4 years and never had a bad experience until the can I bought yesterday. Made my usual hummus with the same recipe I always use and simply can't get over the nasty, tar-like, metallic off-taste. Tasted the tahini straight and its definitely the tahini, not the chickepeas or olive oil. Throwing that batch out and taking the can back. Glad to see others have noticed it too, and will wait until Joyva gets their quality control back. Up until this can, it's always been good.",negative,ive bought joyva tahini year never bad experi bought yesterday made usual hummu recip alway use simpli cant get nasti tarlik metal offtast tast tahini straight definit tahini chickepea oliv oil throw batch take back glad see other notic wait joyva get qualiti control back alway good
5,Great northern popcorn,Best popcorn ever!  Just like at the movies. Love how the popcorn an salt are separate so you can add or subtract to desired amount.,positive,best popcorn ever like movi love popcorn salt separ add subtract desir amount
5,"Pretty, Old Fashioned Candy",Bye with confidence.  This is beautiful old time candy.  You will like it.  Just break it into smaller pieces and put in serving dish.,positive,bye confid beauti old time candi like break smaller piec put serv dish
5,A yummy quick lunch,"Nong Shim noodle bowls are a definite step up in quality from the typical cup noodles.  They are simple to prepare: just add boiling water and let sit for about 3 minutes (I prefer my noodles a bit softer and let them sit at least 5 minutes).  The bowls provide a generous amount of noodles to make a filling lunch.  The Spicy Chicken variety is my favorite so far (better than the Beef & Ginger).  The broth is fairly spicy but not too much for the average palate.  Along with the noodles, there are pieces of dehydrated vegetables as well as chicken pieces.  The chicken pieces taste ok but are spongy and look kind of disgusting; I have thought about picking them out before adding the water but haven't bothered.  As other reviewers have noted, the bowls are high in sodium; however, you can use less of the seasoning packet if that is a concern.  For the price, these noodle bowls are a real winner, and they have become a frequent work-time lunch for me.<br /><br />I should note that when I ordered then from here, the case was slightly crushed and about 1/3 of the bowls were somewhat smashed.  Fortunately, the bowls were not broken and did not leak; however, because they were uneven in depth, not all the noodles were submerged in water, so they cooked unevenly.  I'm sure Amazon would have allowed me to return the bowls, but it seemed like too much hassle.",positive,nong shim noodl bowl definit step qualiti typic cup noodl simpl prepar add boil water let sit minut prefer noodl bit softer let sit least minut bowl provid gener amount noodl make fill lunch spici chicken varieti favorit far better beef ginger broth fairli spici much averag palat along noodl piec dehydr veget well chicken piec chicken piec tast spongi look kind disgust thought pick ad water havent bother review note bowl high sodium howev use less season packet concern price noodl bowl real winner becom frequent worktim lunch mei note order case slightli crush bowl somewhat smash fortun bowl broken leak howev uneven depth noodl submerg water cook unevenli sure amazon would allow return bowl seem like much hassl
5,The best jarred salsa in the entire universe,"I have no words. The Arriba Fire Roasted Mexican Chipotle Salsa is the best jarred salsa money can buy. And note that I mention money, because I hope you have a lot of it if you want to buy some of this delicious salsa. I don't know why it's so expensive, but I guess mouth-kicking, life-changing flavor like this only comes from tomatoes hand-roasted by magical elves, and magical elves don't come cheap. So save up your pennies, mortgage your home and buy a few jars. You won't regret it.",positive,word arriba fire roast mexican chipotl salsa best jar salsa money buy note mention money hope lot want buy delici salsa dont know expens guess mouthkick lifechang flavor like come tomato handroast magic elv magic elv dont come cheap save penni mortgag home buy jar wont regret
5,Great Tasting Tea,Looking for great tasting chinese  restaurant quality  tea? This is it. I searched everywhere and this is the best I have found.<br />It is also the best price and of course that is what I  have come to expect from Amazon.Also the fastest delivery.,positive,look great tast chines restaur qualiti tea search everywher best foundit also best price cours come expect amazonalso fastest deliveri
5,~~The Best Tea Ever~~,"I was a Lipton die hard Ice tea drinker until I tried a sample of Tetley Tea round tea bags in my Ice Tea, now I'm addicted to the smooth,smooth flavor. That's they ony way I can explain it. It has a Great taste and it feels so Smooth going down.  I've  even turned a lot of my family and friends into Tetley Tea lovers too.<br /><br />Just try it once and see if you don't agree.  I won't drink anything else and if I can't find it at the stores in town I'll buy it from Amazon on line. I don't ever want to be with out.<br /><br /> Tku,<br /><br />~~Trish~~",positive,lipton die hard ice tea drinker tri sampl tetley tea round tea bag ice tea addict smoothsmooth flavor that oni way explain great tast feel smooth go ive even turn lot famili friend tetley tea lover toojust tri see dont agre wont drink anyth els cant find store town ill buy amazon line dont ever want tkutrish
5,Healthy Snack,Received this set as a gift and they are a wonderful tasting product.  Perfect for my West Bend popcorn maker.,positive,receiv set gift wonder tast product perfect west bend popcorn maker
3,Chocolate and dates didn't mix well,I expected the chocolate topping to be all chocolate but it's mostly a paste made with dates. Not my favorite.,neutral,expect chocol top chocol mostli past made date favorit
2,Broken Biscuits,"My wife loves these biscuits so I thought I would surprise her and buy a Family Pack of 5. They arrived packed in a box with the other items I purchased which included a heavy can of syrup and a can of pectin, neither of which were fully secured inside the box. Although they tasted as good as usual, my wife was very disappointed since so many of the biscuits were broken, probably around 20%. I doubt whether we will buy these on-line again.",negative,wife love biscuit thought would surpris buy famili pack arriv pack box item purchas includ heavi syrup pectin neither fulli secur insid box although tast good usual wife disappoint sinc mani biscuit broken probabl around doubt whether buy onlin
4,Really works!,"The product works well with Blessed Thistle.  The only thing I didn't like was the maple syrup smell that your pores give off while taking this.  My husband can smell when I'm around :) lol.  I stopped taking it for a few days when I was sick and I still gave off the smell.  I was down to only a few drops of breast milk and when I started taking these, I was able to start pumping 3 oz every time like usual.  I wish I was able to produce even more than that though because I am still having to supplement with formula.",positive,product work well bless thistl thing didnt like mapl syrup smell pore give take husband smell around lol stop take day sick still gave smell drop breast milk start take abl start pump everi time like usual wish abl produc even though still supplement formula
3,Ok Bar,"Unlike the Cherry Pie which is great and really taste like cherry pie, this is more of a lime flavored almond bar. Not bad, but not great.",neutral,unlik cherri pie great realli tast like cherri pie lime flavor almond bar bad great
5,Catnip worked out well.,The catnip was slow growing at first.  The seeds sprouted in the little container after about two weeks.  At one month I transplanted it to a bigger pot and now it is growing like crazy.  I'm very happy and so are my cats.,positive,catnip slow grow first seed sprout littl contain two week one month transplant bigger pot grow like crazi happi cat
5,Excellent chips!,"These chips are always good!  They are not your normal chip, and do not have the greasy-ness about them.  They are light and crunchy and much healthier than your regular chip.  Most people really like them once they try them and get over the 'Oh, it's a HEALTH food' thing!  They are not as healthy as eating fruits and veggies, and are still chips, but they are a much MORE healthy alternative to your regular chip.  And they do still have an excellent taste!  Sour cream and onion is amazing, but so are the other flavors!  (Whatever your person preference is!)",positive,chip alway good normal chip greasy light crunchi much healthier regular chip peopl realli like tri get health food thing healthi eat fruit veggi still chip much healthi altern regular chip still excel tast sour cream onion amaz flavor whatev person prefer
5,Great mint tea,"Great mint tea -- smooth, not too strong, not too light.  Great when you don't want a jolt from your tea.",positive,great mint tea smooth strong light great dont want jolt tea
5,"Takes time to appreciate, then WOW!","At first sip, I thought the Lipton Herbal Blackberry Vanilla Tea tasted too much like cherry cough medicine, with the blackberry-vanilla flavor just a bit too strident and artificial tasting. Kind of like overloaded hazelnut coffee. On second taste, I fell in love with this, feeling like it had a sustaining and alluring flavor. I can't explain why it feels sustaining, as it is caffeine free, perhaps the richness of flavor is at work.<br /><br />I triangulated with my housemates on this:<br /><br />Housemate the 1st: ""It has an interesting back note.""<br /><br />Housemate the 2nd (an oratorical type): ""It revives a feeling of nostalgia. It's not very tinged, not a wake-up coffee, it's a very mild tea. This is very, very good. This kind of tea leaves a taste on your taste buds, and doesn't stick to your teeth. I'm going to heat another cup.""<br /><br />So -- this is certainly worth a try if you like fun brassy flavors in tea. It contains real hibiscus flowers, rose hips, sweet blackberry leaves, dried black currant pieces, dried blackberry pieces, dried blueberry pieces and sunflower lecithin. It comes in an infusion pyramid rather than a paper bag, somewhat more tricky to compost but not a big deal.",positive,first sip thought lipton herbal blackberri vanilla tea tast much like cherri cough medicin blackberryvanilla flavor bit strident artifici tast kind like overload hazelnut coffe second tast fell love feel like sustain allur flavor cant explain feel sustain caffein free perhap rich flavor worki triangul housem thishousem interest back notehousem orator type reviv feel nostalgia ting wakeup coffe mild tea good kind tea leav tast tast bud doesnt stick teeth go heat anoth cupso certainli worth tri like fun brassi flavor tea contain real hibiscu flower rose hip sweet blackberri leav dri black currant piec dri blackberri piec dri blueberri piec sunflow lecithin come infus pyramid rather paper bag somewhat tricki compost big deal
3,JUST OK,"I don't like strong coffee so this wasn't my favorite.  If you like a bold coffee, you will like this one. My son likes it & recommended it to me.  I sent them to him.",neutral,dont like strong coffe wasnt favorit like bold coffe like one son like recommend sent
5,Delicious!,"This may be my newest addiction, it is delicious tasting jerky and I'm glad I found it on here.  It wasn't too dry, wasn't too moist...I thought it was perfect. I want jerky to be closer to tough than soft because it takes longer to chew it. There are 80 calories in a 1 oz serving, 10 of those from fat.  550mg of sodium, 3g carbohydrate/3g of sugar and 30 mg cholesterol, 14g of protein. Ingredients exactly as listed on the package are solid turkey breast meat, worcestershire sauce (water, corn syrup, vinegar, molasses, soy sauce (water, wheat, soybean, salt), salt, caramel, spices, dehydrated garlic, dehydrated onion, tumeric, flavors), soy sauce (water, wheat, soybean, salt) liquid smoke, honey, sugar, vinegar, pepper (black), garlic powder, spices.<br />No preservatives, all natural ingredients.  I will definitely buy this again.",positive,may newest addict delici tast jerki glad found wasnt dri wasnt moisti thought perfect want jerki closer tough soft take longer chew calori serv fat sodium carbohydrateg sugar cholesterol protein ingredi exactli list packag solid turkey breast meat worcestershir sauc water corn syrup vinegar molass soy sauc water wheat soybean salt salt caramel spice dehydr garlic dehydr onion tumer flavor soy sauc water wheat soybean salt liquid smoke honey sugar vinegar pepper black garlic powder spicesno preserv natur ingredi definit buy
1,Hardly any clams,I was disappointed that there was a lot of juice and very few clams. It was expensive and not worth the cost.,negative,disappoint lot juic clam expens worth cost
4,"Some are good, some are not so much.","Some of the flavors we have tried:<br />Diet Cola<br />I do not like diet cola. I don't like diet Coke, diet Pepsi or diet other drinks. We bought this flavor so we could make diet drinks for someone who might like a diet cola when we were making our own soda. However, this is really one of the better diet drinks that I have tried. If you make your own soda, this is a good one to try.<br /><br />Orange<br />This is the best one by far of all of the flavors we have tried. This flavor tastes just like the fanta orange soda. We love this one.<br /><br />Cola<br />This cola flavoring is ok. It's not great. You can easily make simple syrups that will not be a cola flavor but will taste much better than this flavor. This is the equivalent of RC Cola. Ok but it's not near as good as other name brand colas.",positive,flavor trieddiet colai like diet cola dont like diet coke diet pepsi diet drink bought flavor could make diet drink someon might like diet cola make soda howev realli one better diet drink tri make soda good one tryorangethi best one far flavor tri flavor tast like fanta orang soda love onecolathi cola flavor great easili make simpl syrup cola flavor tast much better flavor equival cola near good name brand cola
5,Excellent and easy to do.,"Really the easiest curry ever! I give it 5 stars even though it needed a few things added to bring it up a notch, I added Coconut milk to it at the end as well as a thai chili to kick it up some. I always add cilantro add the end as well. I also have used cream near end to give it a richer and creamier curry taste. It really takes out a lot of the work for you and tastes just as good as if making it from scratch. It works for breast as well as thigh meat, you just need more time for the boneless thigh meat to cook. The cooking directions are very precise and if using breast meat, you really should follow the recipe exactly as far as the method and time goes. For thighs you must wing it and figure at least 10-15 more minutes...it's hard to overcook the thigh, they are very forgiving. A great product to have in pantry.",positive,realli easiest curri ever give star even though need thing ad bring notch ad coconut milk end well thai chili kick alway add cilantro add end well also use cream near end give richer creamier curri tast realli take lot work tast good make scratch work breast well thigh meat need time boneless thigh meat cook cook direct precis use breast meat realli follow recip exactli far method time goe thigh must wing figur least minutesit hard overcook thigh forgiv great product pantri
5,Damn Good Pork Rub,"I bought this rub from my butcher, thinking, nyah, I'll try it.  Whoa....I used it on pork chops, country ribs and back ribs as a rub.  Really imparts a flavor to the meat.  Add some smoke and maybe some sauce and you have a winner!<br />Oh.....use it sparingly.  This is not a drench rub!",positive,bought rub butcher think nyah ill tri whoai use pork chop countri rib back rib rub realli impart flavor meat add smoke mayb sauc winnerohus sparingli drench rub
5,It's growing on me,"At last a nutritional drink I can handle, no sugar or other terrible stuff. At first I thought it wasn't quite sweet enough, but changed my mind. I got this on subscription, to be sent every 3 months, just increased to monthly. Good stuff.",positive,last nutrit drink handl sugar terribl stuff first thought wasnt quit sweet enough chang mind got subscript sent everi month increas monthli good stuff
5,Great Taste to Price Ratio,"For whole bean coffee you can't beat this for the price. Great full taste for less than store brands, and can subscribe and simply have it show up on my doorstep every month.",positive,whole bean coffe cant beat price great full tast less store brand subscrib simpli show doorstep everi month
4,Refreshing,"I have tried a bunch of coconut waters. This one is in the top three for strait coconut water. Its so refreshing that my body craves it after a good workout or a long night of drinking.  I recommend this to all my friends.<br /><br />If ts your first time drinking any coconut water, the flavor will grow on you. I wasn't big on it at first but now it's one of my favorite drinks.<br /><br />You'll be happy when you read the ingredience list. It's refreshing that it's all words you can pronounce.",positive,tri bunch coconut water one top three strait coconut water refresh bodi crave good workout long night drink recommend friendsif first time drink coconut water flavor grow wasnt big first one favorit drinksyoul happi read ingredi list refresh word pronounc
3,Different But Delightful,"Couldn't wait to taste this coffee.  Once it arrived,  I immediately brewed me a cup. The smell was just like chocolate but the taste of chocolate wasn't really there. It's O.k.",neutral,couldnt wait tast coffe arriv immedi brew cup smell like chocol tast chocol wasnt realli
4,Great for a change of pace,This is a refreshing cup of coffee but not one I would have every day. I normally like Kona blends which have a bolder taste and body. I did find that I had to add sweetner to bring out the full butter toffee flavor.,positive,refresh cup coffe one would everi day normal like kona blend bolder tast bodi find add sweetner bring full butter toffe flavor
5,great value!,I am just pleased that I can get a good value and that the product comes promptly.  My cat is happy!,positive,pleas get good valu product come promptli cat happi
5,Energy Boost,I LOVE these Larabars!  I eat one just before my morning trip to the gym and feel energized.,positive,love larabar eat one morn trip gym feel energ
5,YUMMY,"I have been getting these cherries and the dried blueberries from Traverse Bay Fruit Co for over a year.  I actually have a subscription to get the package of 4 containers of cherries and 3 containers of blueberries once a month.  They are sooooo gooood. I have them with oatmeal, cheerios, in salads and just as a snack.  They are not sweetened, but they are very satisfying for the sweet tooth.  Walnuts compliment the dried cherries quite well. I would recommend these good fruit products to anyone who was looking for a snack that was also beneficial to your health.",positive,get cherri dri blueberri travers bay fruit year actual subscript get packag contain cherri contain blueberri month sooooo gooood oatmeal cheerio salad snack sweeten satisfi sweet tooth walnut compliment dri cherri quit well would recommend good fruit product anyon look snack also benefici health
2,But the aftertaste..,"I'll begin this by saying I only really bought it because it was gluten free. It was a bonus that it was also lactose free. At first taste it was good, but it had this awful after taste that was chalky and reminded me of eating potting soil. Maybe it needed something else to mask the after taste, but I'm not sure what..",negative,ill begin say realli bought gluten free bonu also lactos free first tast good aw tast chalki remind eat pot soil mayb need someth els mask tast sure
4,Good but really sweet,"The bars taste good but are very sweet (18 grams per bar).  Would not recommend shipping during the summer to the southern US states, they melt a little.",positive,bar tast good sweet gram per bar would recommend ship summer southern state melt littl
5,Good Milk Subsitiute,"Plenty of time to use before exp. date.(close to a year give or take) The flavor is very mild and won't throw off the taste of your recipe's.<br /><br /> I usually keep it in the freezer to keep it fresh. Follow storage insturctions on package. It will start to get an strong flavor as it starts to go bad. (just like flax or any other perishable food) I noticed that once when leaving some in the frige too long. (a couple of months)<br /><br />Mostly I use it for a subsitiute for milk. Just add water and/or other ingredients and blend. Great for drinking, cooking, and making ""milk shakes"". Or you could just use it as a sprinkle on your salads.",positive,plenti time use exp dateclos year give take flavor mild wont throw tast recip usual keep freezer keep fresh follow storag insturct packag start get strong flavor start bad like flax perish food notic leav frige long coupl monthsmostli use subsitiut milk add water andor ingredi blend great drink cook make milk shake could use sprinkl salad
1,Half fat = half edible,"I really don't know how this can be considered food. I love the original Velveeta Shells & Cheese and bought the 2% at the store by accident, so when I saw them in my pantry, I figured the accidental purchase would allow me to try this ""healthier"" option. My exact reaction when putting this stuff in my mouth: 1) Umm, okay not THAT bad, 2) WHAT IS THIS?! 3) Worst, most artificial/bitter after-taste ever. In this case, half the fat is simply not worth the pain when trying to swallow this stuff.",negative,realli dont know consid food love origin velveeta shell chees bought store accid saw pantri figur accident purchas would allow tri healthier option exact reaction put stuff mouth umm okay bad worst artificialbitt aftertast ever case half fat simpli worth pain tri swallow stuff
5,Delicacy for my dogs,"One of our dogs is extremely picky when it comes to food and treats. Sometimes he just sniffs and then turns away, obviously disgusted. Sometimes he'd take the treat in his mouth and then moves his head down so the treat just falls out of his open mouth on the floor. Then he walks away... He is an awesome dog but quite the character.<br />However, these treats are a big hit for both of our dogs..!! They aboslutely love this healthy delicacy. They are a bit on the pricey side but I will order them as a special treat for them once in a while. Highly recommend this product.",positive,one dog extrem picki come food treat sometim sniff turn away obvious disgust sometim hed take treat mouth move head treat fall open mouth floor walk away awesom dog quit characterhowev treat big hit dog aboslut love healthi delicaci bit pricey side order special treat highli recommend product
5,wowee,if you put it in the freezer and let it freeze it is like eating two cups of chocolate candy. i wonder how many calories there are in two cups of chocolate candy.,positive,put freezer let freez like eat two cup chocol candi wonder mani calori two cup chocol candi
1,"Price is right, product isn't","We've always bought the Halo Chicken Liv-a-littles treats for our cats, but they've recently reduced the package size and ultimately increased the price.  Decided to try these since they were about half the price.  First thing we noticed was that the chicken was noticably darker in color, and when we gave it to our cats this morning she could hardly break it apart.  One cat ate two small pieces, and refused to eat any more. (Normally she chows down the halo stuff) The other cat ate all of his and threw it up 3 minutes later.  Also in the package they have one of those packets, a really big one, that they use to absorb moisture. We will be throwing this out and sticking with the tried and true, sometimes you just have to pay for quality.",negative,weve alway bought halo chicken livalittl treat cat theyv recent reduc packag size ultim increas price decid tri sinc half price first thing notic chicken notic darker color gave cat morn could hardli break apart one cat ate two small piec refus eat normal chow halo stuff cat ate threw minut later also packag one packet realli big one use absorb moistur throw stick tri true sometim pay qualiti
5,Yogi Egyptian Licorice,This is my favorite herbal tea.  It has a slight sweetness from the licorice and the flavor is bold enough to compare with coffee.<br /><br />highly recommended.,positive,favorit herbal tea slight sweet licoric flavor bold enough compar coffeehighli recommend
5,Pet food discount rates,I have been using this food for my 3 dogs for over a year. It is a product that they dont an allergic reaction to and is high in proteins and fish oils. The price has been increasing recently and through Cajunmarket.info I was able to save some money over what the local stores charged.,positive,use food dog year product dont allerg reaction high protein fish oil price increas recent cajunmarketinfo abl save money local store charg
